Code,Description,Document Name,File,SKU,Image,Video,Audio,Comments
K001,किसान मित्र के लिए प्रश्नोत्तर,FAQ,N/A,MA-004,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-3342-733a-906d-b91b989e4e7c,N/A,N/A,"हेलो किसान मित्र, आपके लिए प्रश्नोत्तर प्रकाशित किए गए हैं"
AG001,क्रॉप प्लानिंग की Technique मे एक्स्पोर्ट Opportunities,क्रॉप प्लानिंग मे Export Opportunities,N/A,KKM-005,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-3344-733a-906d-c02063e211e8,N/A,N/A,Identifying and capitalizing on export opportunities for crops
FM005,फसल प्रबंधन के लिए Weather Forecasting और Advisory,क्रॉप प्लानिंग मे Export Opportunities,N/A,AGR-WA1,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-334d-733a-906d-c975b56467a4,,N/A,Weather forecasting and advisory system for crops
CT003,Krishi Mitra - पंजाबी चैटबोट की सेटिंग्स,Setting up the Punjabi Chatbot - Krishi Mitra,N/A,AGR-MB1,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-3350-733a-906d-d029c237df54,N/A,N/A,Setup guide for the Punjabi chatbot in Krishi Mitra
MR001,भारत के किसानों के लिए Market Insights और Advisory,Market Insights and Advisory for Indian Farmers,N/A,AGR-CN1,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-3351-733a-906d-dffbba6b989e,N/A,N/A,Market insights and advisory for Indian farmers
CG008,क्रॉप प्लानिंग के लिए Soil Testing और Advisory,Soil Testing and Advisory for Crop Planning,N/A,AGR-PC1,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-3356-733a-906d-e11e26f25ec8,N/A,N/A,Soil testing and advisory for crop planning
KM001,Paddy सिंचाई के लिए सर्वश्रेष्ठ तरीके,Bheeni Kaamchi Tips,N/A,KA-006,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-3359-733a-906d-eef3605f9ba9,N/A,N/A,पूरा किसानों की हितों को ध्यान में रखा गया है।
KM005,गेहूं के बीजों की खेती के लिए आवश्यक बातें,क्रॉप प्लानिंग मे Export Opportunities,N/A,AGR-PC2,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-335a-733a-906d-f2a24762e989,N/A,N/A,उद्योगों के पूरा हितों को ध्यान में रखा गया है।
D012,"कृशि मित्र एप्लिकेशन का विश्वसनीयता सर्टिफिकेट है, जो खेती में उर्वरकों और बीजों की क्षमता बढ़ाने के तरीकों पर जानकारी प्रदान करता है।",अनुमोदन रिपोर्ट,N/A,AGR-TP1,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-335b-733a-906d-fd7298f26f89,N/A,N/A,किसानों को फसलों की गुणवत्ता और उत्पादन में सुधार करने के लिए मार्गदर्शन प्रदान करता है।
D008,सरसों और गेहूं की खेती में चर्मरहित कृषि के तरीके की जानकारी प्रदान करता है।,जानकारी सिक्योरिटी,N/A,KCS-001,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-3376-733a-906e-07096c61d5d1,N/A,N/A,फसल पैटर्न को समझने और मौसम वज़न पर फसलों का बेहतर निर्णय लेने में मदद करता है।